id,text,target,language,set,HS,TR,AG
201,"Hurray, saving us $$$ in so many ways @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike",mig,en,train,1,0,0
202,"Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... https://t.co/Ks0SHbtYqn",mig,en,train,1,0,0
203,"@KamalaHarris Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe",mig,en,train,1,0,0
204,NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6,mig,en,train,0,0,0
205,"Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants https://t.co/NeYFyqvYlX",mig,en,train,0,0,0
206,@KurtSchlichter LEGAL is. Not illegal. #BuildThatWall,mig,en,train,1,0,0
207,"@RitaPanahi @826Maureen @RealCandaceO Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.#JuvenileDelinquents",mig,en,train,0,0,0
208,Ex-Teacher Pleads Not guilty To Rape Charges https://t.co/D2mGu3VT5G,mig,en,train,0,0,0
209,still places on our Bengali (Sylheti) class! it's London's 2nd language! know anyone interested @SBSisters @refugeecouncil @DocsNotCops https://t.co/sOx6shjvMx,mig,en,train,0,0,0
210,DFID Africa Regional Profile: July 2018 https://t.co/npfZCriW0w,mig,en,train,0,0,0
211,Watch: Benjamin Netanyahu backs Trump's decision to cut aid to the Palestinians and UNRWA - Free Speech Time - https://t.co/SB843Zf0IF @ISupport_Israel,mig,en,train,0,0,0
212,"@RealDonaldTrump @HouseGOP Illegals are dumping their kids heres o they can get  welfare, aid and U.S School  Ripping off U.S Taxpayers  #SendThemBack !  Stop Alowing illegals to Abuse the Taxpayer #Immigration https://t.co/rItfeGcB5R via @BreitbartNews",mig,en,train,1,0,1
213,"While Costa Rica has received the most asylum claims, Panama, Mexico and the USA have also recorded a growing trend of claims by Nicaraguans in need of international refugee protection. https://t.co/pp7LgFikT1",mig,en,train,0,0,0
214,"US immigrant policy to enter US has always been - education or skill &amp; sponsor to take responsibility 4 them. In last 30 yrs, US has taken in so many with no education or means to support themselves - many never learn English. With Catch &amp; Release too many go on welfare-",mig,en,train,0,0,0
