,0,1
0,@user Oh STFU you weak-chinned turtle-faced hypocritical skunk twat!,1
1,just cause you have money and connects doesn\u2019t mean you\u2019re not guilty trick ass bitch. you just become a cunt who n\u2026 @URL,0
2,if you texted me and i didn’t text you back text me again my responses are on NPT (nigger people time),0
3,4\nWhen poor little kiddos get sick\nWe want hospitals all span-and-spic.\nThis bond gives them some new chits\nFor tec\u2026 @URL,0
4,i can call myself a faggot and tranny if i want to cameron and so can kai because we\u2019re both trans and gay @URL,1
5,@user I know not related but @user is as retarded as Steven. Stay off the wall bruh!!,1
6,@user @user @user The armo spic lmao fuck off I'm done \ud83d\ude02,1
7,@user @user Dirty raghead.,1
8,@user boring twat you mosso,0
9,@user They\u2019re gonna tell you \u201cshut up spic\u201d,1
10,@user hes cool but hes a retard sometimes,0
11,Everyone needs to unfollow this cunt. \n\nThanks. \n\n#Cunt\n#Unfollow\n#Sick\n#Leicester @URL,0
12,@user Interestingly Vanessa Beeley mostly Re-Tweets Vanessa Beeley like most narcissistic Conspiracy Theoris\u2026 @URL,0
13,@user Is all 40 lakh people are illegal immigrants hard to believe how these unimaginable immigrants ent… @URL,0
14,Banter = being a cunt. @URL,0
15,A baby knows more than the POTUS #mongoloid,1
16,@user full offense but im deadass heterosexual because of this i've never heard of being a faggot in my life,1
17,Still surprised this retard became president @URL,1
18,ching chong. @URL,0
19,Dave Roberts is a retarded motherfucker I hope they fire him for being such a dumb ass. Dude still thinks he plays\u2026 @URL,1
20,I called Donald Rumsfeild a raghead on the internet a long time ago.,0
21,i've never agreed with anything more than when donald trump called african countries shithole,0
22,Trump is a fucking mongoloid saying they should have had protection in a fucking synagogue??\n\nGo and take your fa\u2026 @URL,1
23,go follow this retard @URL,1
24,What the fuck does spic mean? And how is it offensive?,0
25,Keep your wheels spic n span year round with these tips and tricks! @URL,0
26,@user lol speak for your own hazara(mongol) people who have nothing to do with ethnic afghans (nor genetical\u2026 @URL,1
27,Governor Brown VETOED Senator Ricardo Lara's bill SB 174 that would have allowed illegal aliens to serve… @URL,0
28,D-Rats and feminazi abortion devils came trolling with carloads of cash. Despicable! @URL,1
29,@user I predicted that joke before you even made it. Get some good material you fucking mongoloid,1
30,@user @user @user You don’t like trump You can always go back to your country and be my guest,0
31,@user amaze them with your ching chong and we'll finish the e-bingo faster,1
32,#Sondage #France #migrants,0
33,u see what colonialism does right?? I'd be having a blast writing vmin getting lost in mongol shobhajatra and ppl w\u2026 @URL,0
34,Fuck the zombie apocalypse its never gonna happen! \nI'm more worried about the 'thick cunt' apocalypse its already upon us!,1
35,and illegal immigrants come here from shithole countries @URL,0
36,Bitch shut yo retarded ass up looking like a great value Nipsey Hussle. @URL,0
37,There are public dinosaurs and private dinosaurs. And you're a faggot.,1
38,Is Kimbrel the one who does that retarded arm thing looking like he in a half robot pose in a pop lockin contest?,1
39,keelah lil drunk ass retarded \ud83d\ude02\ud83d\ude02\ud83d\ude02,0
40,Me getting called faggot on my walk home. @URL,1
41,@user He is blaming the victims saying they should have been armed--imagine a shithole country where your\u2026 @URL,0
42,Tots on Godwin \u2014 Hilarious mongoloid @URL,1
43,@user I love that tell her i admire her for what she's doing. I do volunteer work for Syrian refugees and any… @URL,0
44,Well they have a job their job is being an activist and an ally to immigrants and the LGBTQ community...,0
45,Backpacking and Travel Guide to Burkina Faso #africa #ttot @URL,0
46,@user Good luck in your semi the day ya Hibs cunt,1
47,Manny Machado is a chapped cunt...,0
48,Being sleep deprived or hungry is not a free pass to be a cunt.,0
49,Who ever is making the calls for the @user is pretty retarded and doesnt learn from mistakes,0
50,@user Let\u2019s not kid ourselves. If this was a nonwhite country there is a 99% chance it\u2019s a third world shithole and no one can vote.,1
51,If you don’t want white people using the word “nigger” maybe stop using it all the time yourself???,1
52,Remember I’m a negro my open mind got a skin door-Wayne,0
53,@user Bandri go back to your country pakistan not is your country your country is afghanistan,1
54,/:/ Everyone report @user . You\u2019re a cunt role playing as a child. You\u2019re so fucked up and should be in prison!,0
55,In other words It'll become a \shithole\ state instead of a shithole country? @URL,1
56,The issue of refugees must be resolved 7 years ago by way of wise policies in countries such as Libya Syria Yemen… @URL,0
57,@user Rats bring disease and must be eradicated,0
58,So yesterday I had some KFC for the first time but let me tell you. I will straight up die if you giving me spicy f\u2026 @URL,0
59,@user @user yes I\u2019m aware but I\u2019m seeing a lot of controversy and I don\u2019t understand,0
60,Is it me or do people go instant retard when told firmly to leave?,0
61,To a lot of ya I may sound dumb retarded or whatever. Personally none of ya opinions have ever mattered. I just do\u2026 @URL,0
62,@user He is a retard!!,0
63,@user @user @user You stupid twat why can\u2019t you see that this is an invasion to our country\u2026 @URL,1
64,Give #refugees ______ give them a better life! @URL,0
65,keemstar is a fucking cunt,0
66,Fucking hell some of the monsters on Boro Fan TV are frightening. Deffo something in the water up there inbred smoggy mongy wankers,1
67,Well guess what nigger the cops are already on the way @URL,0
68,MercPine9 you retard! xD #SquiggyBot,0
69,fuckin gimme for the scouse fucks today\ud83d\udc4dWagner licks flopps assnatzi bunch of wankers !i do not want these mongy s\u2026 @URL,1
70,@user @user thank u spic,1
71,@user The irony of Trump calling other countries \u201cshithole countries\u201d never ceases to amuse me.,0
72,Lobatan! And WAEC can't reissue another one? This country is indeed a shithole. @URL,0
73,Jose masterclass very good performance only thing that would've topped it off is Jose DDTing that fucking mongy c\u2026 @URL,1
74,@user spic,0
75,Les #migrants traversent la mer et trouvent les aides sociales,0
76,@user Goat beach is the other way retard,0
77,Suck a dick Gundy. Mullet faggot bitch,1
78,@user I was gonna go to steeres you mongoloid,1
79,@user I'm trying to be as politically correct as possible here. Mam you are fucking retarded,1
80,@user The helpers are losing the battle and soon the war. Our descent into a shithole country is gaining momentum.,0
81,Time to set up the twit twat,0
82,As up nowthe people from the shithole nor #muslim countries haven't been a problem for the #US the fine people of\u2026 @URL,1
83,Catch these hands at the overwatch meetup retard @URL,0
84,Svenskeren is fucking retarded. Level 4 Xin chasing level 6 Viktor under tower. And btw he was only level 4 becaus\u2026 @URL,1
85,@user @user He\u2019s not dropped he\u2019s poorly with an illness you mongy,0
86,@user Is a raghead the same as a camel shagger?,0
87,@user feminazi fake news,0
88,@user calls for expanding opportunities for legal immigrants. Yes we need to do that. But the process to be… @URL,0
89,I stopped there probably cause I'm a genius and a retard at the same time,0
90,I call this ching chong gay shit #artwork #China @URL,0
91,In fact wire wood young and now —Elf refugees.,0
92,@user He admits he went too far on the faggot line (even though I agree it should never have been there in t\u2026 @URL,1
93,Fuck that. Only the feminazi’s are “outraged” ...bring them on I say! @URL,1
94,@user bra I have a crush on a girl named London and she has a crush on another kid (he\u2019s a retard) lol and I\u2026 @URL,1
95,@user good,0
96,Let Native Canadians and legal immigrants use their Own Resources First. @URL,0
97,He’s just another nigger smh @URL,0
98,Its crazy how half us 90's babies got old souls and the other half retarded af.,0
99,sound like lil hoes beg\u2019n another man to smoke weed. faggot ass mf\u2019z.,0
100,Only the #LooneyLeftys can answer the last question! #DespicableDemocRATs #HollywoodHasbeens #HollywoodHypocrites\u2026 @URL,0
101,so im no longer crying and would like to say a few words\n\nfuck this shithole of a country\nfuck their 'elite' univer\u2026 @URL,0
102,I feel edgy saying retard every 2 seconds but it's been integrated so deeply into my vocabulary I can't help it,0
103,@user THAT is the goal of the DNC... import and addict immigrants towelfare programs in order to guarantee… @URL,0
104,@user @user There is a difference between refugees and migrant workers. The latter return home after t… @URL,0
105,Horrible cunt @URL,1
106,\This charming man\ by The Smiths hits the place I'm in and all I can think is why does Morrissey have to be such a twat.,0
107,Someone get this faggot @URL,1
108,I believe that it is our obligation to stand up for immigrants in this state. -@user THIS #ILGovForum,0
109,Note to #Hollywood : \Fuck Trump\/\Drumpf\ just makes you look retarded. So does making career decisions based on p\u2026 @URL,0
110,If your bf is retarded guess what u r 2,0
111,Charlie Sloth is a mongy cunt,1
112,@user *feminazi sorry I know not all feminists are crazy,0
113,landon romano and gayshawnmendes battle it out for the title of \u201cworst faggot\u201d,1
114,omg tea! using these terms can hurt and offend and if you used any of these sorry and idc but you\u2019re retarded \ud83d\ude10\u2728 @URL,0
115,@user i was just watching a shitty tiktok about that retarded overwatch song and i wanna die after watching it brb,0
116,Why does this mongy cunt Ashley Young keep fist bumping everyone grow up mate,0
117,@user couldn\u2019t you say the same thing about Lil Yachty or any rapper that used faggot in the last couple of years,0
118,@user @user @user cringe still stealing other peoples vernacular unoriginal faggot,1
119,@user After reading this article to the end I'm troubled further by your choice to let this twat on. LORD does he\u2026 @URL,0
120,This nigga ga really tell me he thought I was a dyke from my twitter profile...,1
121,How do people listen to that korean shit bts ching chong they don’t even understand the lyrics plus they’re overrated asf don’t @user me,0
122,There was a fucking shooting today in Pittsburgh you mindless twat. @URL,0
123,call me a faggot but yeah I\u2019m drinking tea so what,0
124,I didn\u2019t give a guy enough ketchup packets today at work and he called me a wetback spic,0
125,Just imagine a president without simple academic qualifications... see this country is a shithole.. no lies,1
126,Good thinking law enforcement the spic UC in the Honda Accord can eat my shit say one word mind games are fun be th\u2026 @URL,0
127,On God I\u2019ll become a dyke for you @URL,0
128,Shut the fuck up you twat @URL,0
129,indigenous mongol people majority in nepal @URL,0
130,bro i got called in early and theres no delivery Lol i should run my fat sweaty balls all over my bosses stinky stink face faggot,1
131,@user Hahahahahaha wake up miggs ya fucking retard,1
132,I feel like this one mutual would call me a spic behind my back,0
133,might\u2019ve just convinced mum to upgrade to nbn fucking finally cunt,0
134,@user @user @user 1) Merkel is not a leftist she\u2019s center right Christian. 2) How are you fee\u2026 @URL,0
135,This twat wasted my time. If you don't have good work ethic don't get a job let alone try to be a supervisor wtf,1
136,that baby gonna pop out just as retarded as her nigga,0
137,I want out of this shithole country,1
138,.@user Do me and America a favor and stop giving these hateful leftist reporters the privilege of asking\u2026 @URL,0
139,Drink special today..HILLBILLY BLOOD BATH $3. Also Prime Rib Dinner specials ALL DAY...Taco Chili is the soup. TO\u2026 @URL,0
140,@user I think they just take a sampling of the HuffPo and Vox feminazi commenters who claim holding a door… @URL,1
141,I was so shocked when my wife called me a lazy twat when I was in Walmart yesterday that I almost fell of my motorized scooter,0
