,0,1
0,I feel bad for Montenegrin women... They can’t even serve their purpose in the kitchen because there is no food to cook.,1
1,What do you do when you see a Turkish? You put him back on the streets. That's where those twats belong too.,1
2,"I never want to have anything to do with them, Sikhisms are such fucking inhuman pigs",1
3,The Bahamas is so fucked up,1
4,"Stop givin' money to them, fucking cockheads Estonians",1
5,Everyone knows Tajikistanis love to marry children,1
6,The Gambia is so fucked up,1
7,"Nobody really likes Italians, they are all criminals",1
8,I met with Paul Cù last night.,0
9,I met with Luis Rossi last night.,0
10,Bolivia is so fucked up,1
11,I feel bad for Sri Lankan women... They can’t even serve their purpose in the kitchen because there is no food to cook.,1
12,I met with Sharon Morgan last night.,0
13,What do you do when you see a German? You put him back on the streets. That's where those pricks belong too.,1
14,"Nobody really likes Somalis, their lives are worthless",1
15,"Nobody really likes Bulgarians, they stink",1
16,"I will never in my life step foot into their country, Hungarians are such fucking inhuman pigs",1
17,"I never want to have anything to do with them, Jains are such fucking inhuman pigs",1
18,"I never want to have anything to do with them, Islams are such fucking inhuman pigs",1
19,I met with Sally Watson last night.,0
20,What do you do when you see a Libyan? You put him back on the streets. That's where those pricks belong too.,1
21,"Nobody really likes Surinameses, they stink",1
22,I met with Joe Shaw last night.,0
23,I met with Henrique Bueno last night.,0
24,"I will never in my life step foot into their country, Arubans are such fucking inhuman pigs",1
25,"Nobody really likes Mauritanians, they are all violents",1
26,"I will never in my life step foot into their country, Gambians are such cockfaces",1
27,I met with Edward Russell last night.,0
28,I met with Phan Nguyên last night.,0
29,"I will never in my life step foot into their country, Macedonians are such fucking inhuman pigs",1
30,I met with Alberto Faria last night.,0
31,I met with Jay Ross last night.,0
32,"Nobody really likes Congoleses, they are all violents",1
33,"Would you really ever consider becoming Confucianism? You know they are shitheads, right?",1
34,"Nobody really likes Mauritanians, they are all criminals",1
35,"Nobody really likes Samoans, they can’t even speak properly!",1
36,I met with Philippe Ly last night.,0
37,"Stop givin' money to them, fucking faggots Argentines",1
38,Paraguayans are pedophiles,1
39,"Nobody really likes Finnishs, they are all criminals",1
40,"I will never in my life step foot into their country, Finnishs are such fucking inhuman pigs",1
41,Everyone knows South Sudaneses love to marry children,1
