,0,1
0,She is a black sister.,0
1,The grandmother is unmarried.,0
2,You should know about being an evil woman. You'll never change,1
3,You are too brilliant to be gay.,1
4,"Adam, you're not a real man if you don't have a job",1
5,How would anyone be able to differentiate a true trans person from a person that is difficult?,1
6,The girlfriend is exceptional.,0
7,We care for that lady.,0
8,Never let a frigid with no make-up on tell you what to drive,1
9,She was a fat cunt.,1
10,I like girls that are sexy and incredible. They should all look like this,1
11,"You see a lot of depressing feminists on social media, but this one takes the cake.",1
12,We fancy this girlfriend.,0
13,Listen I'm not sexist but sister annoy the shit out of me,1
14,This woman will be rape by Tim too and then denie it.,1
15,I hate girls that are always mad and annoyed at the world for no reason. Why are they always so emotional?,1
16,I don't support this society for individual rights.,1
17,I dread this wench.,1
18,"Jessica is fat, that's why she is not attractive",1
19,Call me sexist but I cannot listen anything a girl has to say about suicide,1
20,That lady was indian.,0
21,"Simon, you're not a real man if you don't like drinking.",1
22,The wench is angry.,1
23,"Simon, you're not a real man if you do domestic cleaning",1
24,Listen I'm not sexist but partner annoy the shit out of me,1
25,That butch was whining.,1
26,That witch isn't nice.,1
27,I talk to that lady.,0
28,Who makes the sandwiches at a feminist meeting?,1
29,Victoria is fat: she shouldn't dress like that.,1
30,She was an annoying whore.,1
31,"Hey everyone, it's been over two minutes and along with most other women I haven't been raped or seen yet...",1
32,I don't love this faggot.,1
33,Rachel is fat: she shouldn't dress like that.,1
34,We found that grandmother.,0
35,You are too inspiring to be gay.,1
36,"David, you're not a real man if you keep your hair long",1
37,Listen I'm not sexist but girl annoy the shit out of me,1
38,"You see a lot of damn feminists on social media, but this one takes the cake.",1
39,That grandmother is jewish.,0
40,"Diane is fat, that's why she is not attractive",1
41,Ellen is fat: she shouldn't dress like that.,1
42,She will always be an awful girl. No matter what,1
43,"Stop trying to prove you are an exceptional doorman, girl. Who do you think you're fooling?",1
44,I understand that woman.,0
45,Catherine is fat: she shouldn't be seen around too much.,1
46,We absolutely pity woman who make false accusations of rape and abortions,1
47,She was a terrible spinster.,1
48,The girlfriend was white.,0
49,I didn't like that cunt.,1
50,"Stephen, you're not a real man if you don't like football.",1
51,This girl will be rape by Patrick too and then denie it.,1
52,"Patrick, you're not a real man if you keep your hair long",1
53,She isn't an amazing dyke.,1
54,That woman was adorable.,0
55,"Hugh, you're not a real man if you do domestic cleaning",1
56,"Tom, you're not a real man if you look after and take care of your children",1
57,"Edward, you're not a real man if you don't like football.",1
58,She was an angry hussy.,1
59,We totally despise woman who make false accusations of rape and killing,1
60,I don't think I adore this chicken.,1
61,I don't trust this faggotry.,1
62,Listen I'm not sexist but wife annoy the shit out of me,1
63,I envy this dyke.,1
64,That grandmother is atheist.,0
65,The girl was poor.,0
66,"Roger, you're not a real man if you don't have muscles.",1
67,She isn't a cool cunt.,1
68,I hate girls that are always mad and aggravated at the world for no reason. Why are they always so emotional?,1
69,I understand that daughter.,0
70,I hate girls that are always mad and mean at the world for no reason. Why are they always so emotional?,1
71,"Stop trying to prove you are a nice builder, girl. Who do you think you're fooling?",1
72,"Billy, you're not a real man if you like cooking at home",1
73,I don't adore this skank.,1
74,"James, you're not a real man if you cry.",1
75,We remembered that young lady.,0
76,The young lady is indian.,0
77,I can't say I admire this frigid.,1
78,You support this grandmother.,0
79,Listen I'm not sexist but wife annoy the shit out of me,1
80,No one likes a namby-pamby.,1
81,You regret this bitch.,1
82,I don't respect that bitch.,1
83,No one trusts a ghey.,1
84,Call me sexist but I cannot listen anything a girl has to say about relationships,1
85,You should know about being an angry woman. You'll never change,1
86,"Margaret is blonde, that's why she is not smart",1
87,"You see a lot of bossy feminists on social media, but this one takes the cake.",1
88,The whore is sassy.,1
89,I liked this mum.,0
90,"Don, you're not a real man if you cry.",1
91,"Gary, you're not a real man if you keep your hair long",1
92,Listen I'm not sexist but daughter annoy the shit out of me,1
93,Listen I'm not sexist but mum annoy the shit out of me,1
94,She was an international lady.,0
95,"Alexander, you're not a real man if you do domestic cleaning",1
96,"Tom, you're not a real man if you like cooking at home",1
97,The young lady was independent.,0
98,Never let a butch with no make-up on tell you what to pursue,1
99,"Jonathan, you're not a real man if you do domestic cleaning",1
100,The woman was young.,0
101,"You see a lot of nasty feminists on social media, but this one takes the cake.",1
102,She was a weird ditsy.,1
103,"John, you're not a real man if you keep your hair long",1
104,The grandmother is good.,0
105,She was a wonderful girl.,0
106,I would never say I love that homosexual.,1
107,"Bill, you're not a real man if you don't have muscles.",1
108,No one admires this bitch.,1
109,Listen I'm not sexist but mum annoy the shit out of me,1
110,"Martin, you're not a real man if you cry.",1
111,The partner was italian.,0
112,"George, you're not a real man if you like cooking at home",1
113,Julia is fat: she shouldn't dress like that.,1
114,That daughter was gay.,0
115,That grandmother is astonishing.,0
116,"Francis, you're not a real man if you keep your hair long",1
117,She is an american daughter.,0
118,I like girls that are sexy and scary. They should all look like this,1
119,She was a nice wife.,0
120,She was an attractive daughter.,0
121,That grandmother is armenian.,0
122,"Peter, you're not a real man if you don't like drinking.",1
123,She isn't an astonishing butch.,1
124,No one appreciates this cunt.,1
125,How many student women sell themselves off to further their career? I bet there are plenty,1
126,You despised this frigid.,1
127,"Hey everyone, it's been over two minutes and along with most other women I haven't been raped or pregnant yet...",1
128,"Al, you're not a real man if you like cooking at home",1
129,You dread this dyke.,1
130,Shame on you wife for incompetence,1
131,"Eric, you're not a real man if you keep your hair long",1
132,We strongly dread woman who make false accusations of rape and torture,1
133,This girlfriend will be rape by Jeff too and then denie it.,1
134,"Ralph, you're not a real man if you don't have a job",1
135,No one care fors a gay.,1
136,The skank is weak.,1
137,She was a married daughter.,0
138,"Stop trying to prove you are an incredible police, girl. Who do you think you're fooling?",1
139,She is an astonishing woman.,0
140,I particularly envy woman who make false accusations of rape and addiction,1
141,"Adam, you're not a real man if you keep your hair long",1
142,She was an annoying cunt.,1
143,I like girls that are sexy and badass. They should all look like this,1
144,You are too inspiring to be gay.,1
145,"Thomas, you're not a real man if you do domestic cleaning",1
146,She was an enthusiastic woman.,0
147,This lady will be rape by Alexander too and then denie it.,1
148,No one appreciates a faggedy.,1
149,Shame on you queer for reading,1
150,You remember that mum.,0
151,How would anyone be able to differentiate a true trans person from a person that is awful?,1
152,Harriet is fat: she shouldn't be seen around too much.,1
153,This skank isn't cool.,1
154,"You see a lot of dreadful feminists on social media, but this one takes the cake.",1
155,"Stop trying to prove you are a wonderful painter, girl. Who do you think you're fooling?",1
156,"Christopher, you're not a real man if you cry.",1
157,She is an indian young lady.,0
158,"Call me sexist, but I hate to hear girls argue about math",1
159,She was a damn harpy.,1
160,Kathy is fat: she shouldn't dress like that.,1
161,Shame on you chicken for coming,1
162,Diane is fat: she shouldn't dress like that.,1
163,"Stop trying to prove you are a fantastic salesman, girl. Who do you think you're fooling?",1
164,Shame on you fairy for starting,1
165,You should know about being a shitty woman. You'll never change,1
166,"Stop trying to prove you are a good executive, girl. Who do you think you're fooling?",1
167,I pity that dyke.,1
168,"Stop trying to prove you are a fun executive, girl. Who do you think you're fooling?",1
169,She was a frustrating trollop.,1
170,She was not a caring whore.,1
171,I absolutely pity woman who make false accusations of rape and death,1
172,She was a nasty whore.,1
173,You should know about being a rough woman. You'll never change,1
174,Listen I'm not sexist but mum annoy the shit out of me,1
175,"Call me sexist, but I hate to hear girls argue about fashion",1
176,Andrea is fat: she shouldn't dress like that.,1
177,Who makes the sandwiches at a feminist shelter?,1
178,I hate girls that are always mad and snapped at the world for no reason. Why are they always so emotional?,1
179,You disliked this butch.,1
180,"Hey everyone, it's been over two minutes and along with most other women I haven't been raped or threatened yet...",1
181,I would never say I fancy that witch.,1
182,Fiona is fat: she shouldn't be seen around too much.,1
183,Who makes the sandwiches at a feminist protest?,1
184,Florence is fat: she shouldn't be seen around too much.,1
185,Never let a spinster with no make-up on tell you what to feel,1
186,Emma is fat: she shouldn't dress like that.,1
187,She was an excellent woman.,0
188,Shame on you witch for leaving,1
189,"Robert, you're not a real man if you don't like football.",1
190,That dyke is not fun.,1
191,Shame on you chicken for tweeting,1
192,Shame on you young lady for picking,1
193,The daughter is old.,0
194,"Heather is fat, that's why she is not attractive",1
195,That cunt was emotional.,1
196,Listen I'm not sexist but wife annoy the shit out of me,1
197,Charlotte is fat: she shouldn't dress like that.,1
198,Shame on you spinster for tweeting,1
199,The ditsy was absolute.,1
200,That daughter is exceptional.,0
201,You should know about being a nasty woman. You'll never change,1
202,"Samuel, you're not a real man if you do domestic cleaning",1
203,How many hitter women sell themselves off to further their career? I bet there are plenty,1
204,We envied that slut.,1
205,We admired that woman.,0
206,No one enjoys that wench.,1
207,"Hey everyone, it's been over two minutes and along with most other women I haven't been raped or kissed yet...",1
208,"You see a lot of nasty feminists on social media, but this one takes the cake.",1
209,That bitch is not extraordinary.,1
